year,km_driven,mileage,engine,max_power,seats
2016,140000,20.51,998,67.04,5
2013,70000,12.83,2696,162.0,7
2013,120000,17.21,1493,100.0,7
2010,110000,21.1,1248,73.9,5
2017,37000,19.67,1582,126.2,5
2016,44000,25.17,799,53.3,5
2015,80000,20.77,1248,88.76,7
2015,125000,15.1,2179,140.0,7
2017,13500,15.37,1196,73.0,5
2011,75000,17.92,1086,62.1,5
2007,120000,13.2,1495,94.0,5
2012,120000,15.1,2179,140.0,7
2013,70000,12.99,2494,100.57,7
2013,70000,23.4,1248,74.0,5
2019,15000,19.0,1199,88.76,5
2009,53000,20.36,1197,78.9,5
2014,120000,23.4,1248,74.0,5
2016,70000,24.52,1248,88.5,7
2008,120000,14.2,1341,82.9,5
2012,100000,18.5,1197,80.0,5
2005,110000,19.369999999999997,1248,81.86,5
2015,100000,20.4,1197,83.11,5
2013,162500,19.4,1405,70.0,5
2017,39000,22.54,1396,88.73,5
2017,75000,26.8,1248,74.0,5
2017,50000,17.6,2179,153.86,7
2019,40000,17.3,1497,121.0,8
2013,92500,22.32,1582,126.3,5
2012,158000,23.4,1248,74.0,5
2012,120000,19.3,1248,73.9,5
2015,50000,26.0,1498,98.6,5
2012,110000,19.3,1248,73.9,5
2017,2000,25.4,1186,73.97,5
2016,70000,27.28,1047,69.0,5
2013,90000,17.97,1498,99.6,5
2019,2000,18.6,1197,81.86,5
2015,20000,20.85,1197,83.14,5
2011,120000,12.8,2494,102.0,7
2017,35000,16.55,2498,105.0,6
2012,193000,19.3,1248,73.9,5
2014,80000,20.4,1197,81.8,5
2019,40000,19.02,1198,67.05,5
2015,70000,22.54,1396,88.73,5
2011,122358,12.05,2179,120.0,9
2017,120000,27.28,1047,69.0,5
2015,40000,17.57,1193,88.7,5
2014,33033,19.4,1198,86.8,5
2015,63063,18.9,1197,82.0,5
2012,60000,21.02,1248,88.76,5
2005,45000,19.7,796,46.3,5
2007,207890,13.6,2523,63.0,7
2018,7976,17.9,2143,170.0,5
2016,35000,16.8,796,34.2,8
2017,35000,18.9,1197,82.0,5
2013,50000,16.95,1197,78.9,5
2011,20000,16.95,1197,78.9,5
2012,50000,18.6,1197,85.8,5
2014,120000,15.96,2523,62.1,7
2014,70000,17.1,1591,121.3,5
2015,50000,17.19,1197,81.86,5
2019,16500,21.01,1197,81.8,5
2010,70000,17.0,1197,80.0,5
2005,99361,19.7,796,46.3,5
2014,70000,19.1,1197,85.8,5
2015,80000,24.0,1120,70.0,5
2010,70000,19.369999999999997,1248,81.86,5
2012,60000,18.6,1199,79.4,5
2018,10000,20.3,1199,84.0,5
2006,80000,16.1,796,37.0,4
2017,30000,25.6,1498,97.9,5
2017,33000,25.6,1498,97.9,5
2013,90000,16.02,1373,93.7,7
2014,80100,19.01,1461,108.5,5
2014,120000,17.4,1497,117.3,5
1983,10000,19.369999999999997,1248,81.86,5
2016,40000,25.17,799,53.3,5
2013,160000,12.99,2494,100.6,8
2017,47000,20.51,998,67.04,5
2018,25000,21.38,1396,88.7,5
2017,26000,23.84,1199,84.0,5
2018,29000,24.0,1186,73.97,5
2016,50000,21.4,1197,83.1,5
2011,58000,16.1,1298,88.2,5
2012,120000,17.4,1197,85.8,5
2003,60000,17.3,993,60.0,5
2017,36000,23.1,998,67.04,5
2007,120000,12.8,2494,102.0,8
2011,185000,21.1,1248,73.9,5
2011,50000,23.08,1461,63.1,5
2002,100000,17.3,993,60.0,5
2013,50000,17.1,1591,121.3,5
2007,80000,18.2,998,67.1,5
2005,60000,19.369999999999997,1248,81.86,5
2005,80000,19.7,796,46.3,5
2010,162000,19.0,998,66.1,5
2013,110000,20.77,1248,88.76,7
2008,120000,17.8,1248,75.0,5
2011,45000,23.08,1461,63.1,5
2005,90000,18.9,998,67.1,5
2010,90000,20.0,1399,68.0,5
2017,67000,17.01,1582,126.2,5
2018,52000,22.0,1197,81.8,5
2016,40000,20.63,1198,67.0,5
2018,35000,14.24,2755,174.5,7
2018,13000,20.71,799,53.26,5
2012,40000,18.5,1198,86.8,5
2019,10000,17.0,1198,73.75,5
2012,9000,16.95,1498,97.7,5
2013,70000,23.59,1364,67.06,5
2009,60000,20.36,1197,78.9,5
2014,40000,20.45,1461,83.8,5
2012,93000,15.1,2179,140.0,7
2008,80000,12.8,2494,102.0,7
2011,50000,15.64,1193,64.08,5
2013,68000,14.5,1797,147.5,5
2012,18000,25.4,624,37.5,4
2013,120000,23.08,1461,63.1,5
2005,35000,18.9,998,67.1,5
2016,60000,26.59,1248,74.0,5
2016,30000,25.17,799,53.3,5
2016,70000,16.34,1798,189.3,5
2015,110000,14.1,2179,147.94,7
2013,58343,21.79,998,67.05,5
2018,38817,27.39,1248,74.0,5
2016,56494,18.2,1199,88.7,5
2013,79328,12.99,2494,100.6,7
2019,5621,22.0,1197,81.8,5
2017,25538,16.78,1496,88.73,5
2018,69779,22.0,1197,81.8,5
2017,56290,24.0,1186,73.97,5
2019,8500,16.78,1995,190.0,5
2019,7032,19.0,1199,88.76,5
2018,2000,16.8,1984,150.0,5
2012,162000,19.369999999999997,1248,81.86,5
2009,120000,11.1,2354,158.8,5
2015,90000,26.59,1248,74.0,5
2014,70000,22.32,1582,126.32,5
2005,240000,12.8,2494,102.0,8
2012,100000,21.5,1248,88.8,5
2009,214000,16.8,1493,110.0,5
2016,50000,22.74,796,47.3,5
2018,1000,18.0,1497,117.6,5
2017,19000,28.4,1248,74.02,5
2012,265000,17.0,1405,70.0,5
2020,35000,20.88,1196,61.7,5
2014,80000,23.95,998,67.05,5
2016,50000,16.0,2179,140.0,7
2010,80000,20.92,998,67.1,5
2018,100000,23.84,1199,84.0,5
2013,120000,15.1,1196,73.0,5
2019,20000,18.0,1969,190.0,5
2019,40000,23.8,1498,78.9,5
2017,45000,21.38,1396,88.7,5
2010,80000,19.7,796,46.3,5
2015,135000,24.4,1120,71.01,5
2015,120000,12.99,2494,100.6,7
2013,67000,23.59,1364,67.1,5
2017,50000,28.4,1248,74.02,5
2008,134000,12.8,2494,102.0,7
2011,110000,23.08,1461,63.1,5
2009,40000,16.1,796,37.0,4
2013,120000,23.4,1248,74.0,5
2015,110000,20.14,1498,88.8,5
2011,170000,21.0,1461,64.1,5
2004,80000,16.1,796,37.0,4
2016,47000,25.2,1248,74.0,5
2015,93000,19.1,1197,81.86,5
2015,70000,20.0,1399,68.05,5
2012,80000,13.93,2179,138.03,7
2016,44000,18.16,1196,86.8,5
2014,25000,23.1,998,67.04,5
2016,25000,15.29,1591,121.3,5
2019,10000,21.21,1197,81.8,5
2018,50000,17.6,2179,153.86,7
2018,30000,23.0,1498,98.96,5
2015,50000,21.19,1396,88.73,5
2012,120000,22.54,1396,88.73,5
2015,80000,15.96,2523,62.1,7
2015,90000,20.45,1461,83.8,5
2015,50000,20.4,1197,83.11,5
2020,2136,22.5,999,67.0,5
2012,250000,12.99,2494,100.0,7
2015,120000,12.99,2494,100.6,7
2017,70000,27.39,1248,74.0,5
2018,18000,19.6,1461,108.45,5
2016,110000,18.2,1248,73.74,7
2017,60000,23.65,1248,88.5,5
2015,60000,12.55,2982,168.5,7
2016,147000,26.59,1248,74.0,5
2015,130000,12.55,2982,168.5,7
2011,99500,11.5,1991,147.9,7
2011,110000,17.0,1405,71.0,5
2016,35000,19.49,1198,67.04,5
2010,110000,16.2,1493,110.0,5
2014,21000,16.02,1373,93.7,7
2013,60000,23.5,1498,90.0,5
2010,40000,16.6,1405,70.0,5
2008,50000,19.81,1086,68.05,5
2010,65000,19.0,998,66.1,5
2011,80000,18.9,998,67.1,5
2015,119000,23.9,1582,126.2,5
2016,80000,24.52,1248,88.5,7
2017,90000,25.2,1248,74.0,5
2016,20000,17.01,1591,121.4,5
2014,80000,25.2,1248,74.0,5
2020,44665,25.32,1198,77.0,6
2019,10000,20.8,1493,113.4,5
2018,60000,20.14,1197,81.86,5
2016,22000,18.5,1198,86.8,5
2014,25000,22.74,796,47.3,5
2016,70000,27.62,793,47.0,5
2008,123000,17.5,1298,85.8,5
2011,70000,20.54,1598,103.6,5
2013,45000,23.59,1364,67.06,5
2015,40000,18.9,1197,82.0,5
2019,30000,28.4,1248,74.02,5
2007,90000,12.9,1799,130.0,5
2016,34000,17.5,1373,91.1,7
2017,25000,24.7,796,47.3,5
2013,50000,25.44,936,57.6,5
2017,90000,23.84,1199,84.0,5
2012,70000,25.44,936,57.6,5
2009,146000,13.93,2179,138.0,7
2012,85000,15.6,1196,70.0,5
2009,201850,17.88,1396,52.8,5
2016,30000,26.59,1248,74.0,5
2018,15000,28.4,1248,74.02,5
2011,90000,20.92,998,67.1,5
2008,80000,19.3,1248,73.9,5
2011,50000,17.2,1396,53.5,5
2012,80000,13.6,2523,63.0,8
2010,110000,19.369999999999997,1248,81.86,5
2016,38000,18.6,1197,81.83,5
2016,100000,15.37,1196,73.0,7
2012,30000,17.5,1197,85.8,5
2014,30000,19.1,1197,85.8,5
2015,50000,18.6,1199,76.8,5
2016,30000,18.2,1199,82.4,5
2009,60000,19.7,796,46.3,5
2018,14000,17.1,1956,170.0,5
2015,22000,17.4,1497,117.3,5
2012,90000,20.54,1598,103.6,5
2018,20000,18.6,1197,81.83,5
2014,15000,15.42,1405,70.0,7
2014,30000,18.5,1197,82.85,5
2010,50000,19.369999999999997,1248,81.86,5
2007,110000,15.3,1341,83.0,5
2015,80000,18.2,1199,82.4,5
2008,50000,19.369999999999997,1248,81.86,5
2015,110000,17.57,1193,88.7,5
2013,70000,19.68,1399,67.0,5
2002,50000,19.7,796,46.3,5
2013,190000,12.99,2494,100.6,8
2010,100000,13.6,2523,63.0,7
2015,60000,22.74,796,47.3,5
2009,90000,19.3,1248,73.9,5
2017,32000,24.3,1248,88.5,5
2016,30000,11.36,2755,171.5,7
2018,5000,24.3,1248,88.5,5
2018,32000,18.9,1197,81.86,5
2016,30000,18.7,1199,88.7,5
2017,43000,15.4,1497,117.3,7
2012,60000,17.7,1497,113.42,5
2015,50000,19.34,1198,76.0,5
2018,14200,18.16,1196,86.8,5
2017,10000,21.1,814,55.2,5
2018,25000,22.7,799,53.64,5
2018,19100,19.0,1194,94.68,5
2014,54000,23.0,1498,98.96,5
2018,35000,22.71,1461,84.8,5
2018,20000,18.9,1197,81.86,5
2016,52000,23.65,1248,88.5,5
2011,120000,23.0,1396,90.0,5
2013,120000,20.77,1248,88.8,7
2010,90000,18.8,1248,90.0,5
2013,75000,22.32,1582,126.3,5
2011,97500,19.369999999999997,1248,0.0,5
2016,100000,15.4,1997,120.0,7
2012,55735,19.01,1461,108.45,5
2014,80000,15.1,2179,140.0,7
2016,50000,24.7,796,47.3,5
2013,70000,20.0,1399,68.1,5
2012,76000,20.36,1197,78.9,5
2020,1500,21.21,1197,81.8,5
2012,76000,15.96,2523,62.1,7
2015,60000,21.1,814,55.2,5
2009,170000,12.8,2494,102.0,8
2013,181491,13.5,2477,175.56,7
2016,53319,25.44,936,56.3,5
2017,40906,21.66,1498,108.62,5
2012,31711,17.6,1496,88.7,5
2012,43755,21.1,814,55.2,5
2010,59549,19.0,998,67.1,5
2015,94385,12.99,2494,100.6,8
2010,73730,18.2,998,67.1,5
2013,148120,14.24,2755,174.5,7
2018,30000,18.9,1197,81.86,5
2011,142000,13.7,2179,138.1,7
2011,20000,12.2,1948,68.0,10
2009,120000,18.8,1248,90.0,5
2011,80000,19.81,1086,68.05,5
2016,60000,19.09,1405,69.01,5
2016,25000,23.01,999,67.0,5
2011,50000,13.6,2523,63.0,7
2017,126000,18.49,1493,100.0,7
2015,170000,26.59,1248,74.0,5
2013,24000,22.74,796,47.3,5
2017,100000,24.52,1248,88.5,7
2019,10000,24.0,1199,83.81,5
2012,70000,20.0,1399,68.0,5
2011,110000,18.9,998,67.1,5
2008,80000,19.81,1086,68.05,5
2015,16500,17.57,1193,88.7,5
2017,30000,23.95,998,67.05,5
2017,80000,24.52,1248,88.5,7
2016,25000,23.95,998,67.05,5
2019,20000,24.0,1186,73.97,5
2016,60000,25.17,799,53.3,5
2014,50000,15.96,2523,62.1,7
2004,100000,9.0,2997,218.0,5
2015,52000,23.95,998,67.05,5
2014,80000,23.4,1248,74.0,5
2015,50000,21.1,814,55.2,5
2016,60000,15.4,2179,120.0,7
2019,25000,23.95,998,67.05,5
2014,50000,24.0,1120,70.0,5
2016,125000,22.77,1498,98.59,5
2016,80000,20.51,998,67.04,5
2017,70000,15.96,2523,63.0,9
2010,90000,23.0,1396,90.0,5
2017,50000,22.95,1248,74.0,5
2016,101000,16.55,2498,105.0,6
2011,40000,18.9,998,67.1,5
2009,28900,0.0,1172,65.0,5
2012,20000,18.9,998,67.1,5
2016,68089,19.16,2494,157.7,5
2015,165000,18.49,1493,100.0,7
2012,98500,19.0,998,66.1,5
2008,98000,20.36,1197,78.9,5
2014,40000,16.55,2498,105.0,6
2013,90000,20.3,1248,92.0,5
2012,90000,19.7,796,46.3,5
2009,110000,17.1,1493,110.0,5
2018,77800,25.1,1248,88.5,5
2015,100000,18.49,1493,100.0,7
2016,80000,19.1,1197,82.0,5
2018,21000,18.15,1198,82.0,6
2018,100000,19.0,1197,85.8,5
2019,25000,21.21,1197,81.8,5
2019,30000,23.0,1498,98.96,5
2018,25000,17.8,1496,105.5,5
2016,40000,13.0,2143,204.0,5
2012,160000,11.5,2982,169.0,7
2018,51492,18.15,1198,82.0,6
2011,72000,20.54,1598,103.6,5
2016,60000,18.16,1196,86.8,5
2013,136000,15.96,2523,62.1,7
2014,60000,17.92,1086,62.1,5
2006,110000,19.369999999999997,1248,81.86,5
2013,90000,17.92,1086,62.1,5
2014,91000,22.71,1461,84.8,5
2009,90000,17.92,1086,62.1,5
2010,20000,19.81,1086,68.05,5
2011,120000,14.0,2489,95.0,8
2009,150000,18.9,1061,67.0,5
2014,167000,13.6,2523,63.0,8
2017,40000,28.4,1248,74.02,5
2010,190000,17.8,1248,75.0,5
2016,50000,23.01,999,67.0,5
2011,70000,14.0,2498,112.0,7
2012,80000,18.9,998,67.1,5
2008,120000,13.6,2523,63.0,8
2015,40000,18.49,1493,100.0,7
2015,17000,21.1,814,55.2,5
2016,50000,23.1,998,67.04,5
2014,65000,21.1,814,55.2,5
2009,70000,13.6,2523,63.0,8
2014,90000,13.58,2499,72.4,9
2015,50000,22.54,1396,88.73,5
2019,25000,18.49,1493,100.0,7
2011,100000,13.5,2179,115.0,5
2007,70000,10.1,2354,152.0,5
2017,30000,20.63,1198,67.06,5
2016,40000,18.15,1198,82.0,6
2014,35000,23.1,998,67.04,5
2004,120000,13.2,1495,94.0,5
2012,120000,15.96,2523,62.1,7
2012,190000,19.09,1396,69.0,5
2016,120000,15.96,2523,62.1,9
2012,120000,19.369999999999997,1248,81.86,5
2011,175000,13.6,2523,63.0,7
2011,175000,15.96,2523,63.0,9
2013,80000,21.02,1248,88.76,5
2018,10000,20.14,1197,81.86,5
2013,90000,20.5,1598,103.5,5
2012,110000,15.96,2523,63.0,9
2007,120000,13.6,2523,63.0,9
2014,50000,12.99,2494,100.6,7
2018,20000,18.9,1197,81.86,5
2017,35000,23.01,999,67.0,5
2014,60000,20.14,1498,88.8,5
2010,68000,18.6,1199,79.4,5
2017,54000,16.0,2179,140.0,7
2006,65000,19.369999999999997,1248,81.86,5
2004,80000,19.369999999999997,1248,81.86,5
2006,120000,16.8,1405,68.0,5
2018,30000,18.9,1197,81.86,5
2011,55113,19.369999999999997,1248,81.86,5
2017,50000,27.28,1047,69.0,5
2020,6000,23.95,998,67.05,5
2011,50000,15.37,1196,73.0,7
2012,90000,12.05,2179,120.0,8
2008,126000,12.8,2494,102.0,8
2013,90000,25.0,1396,69.0,5
2011,70000,10.5,2609,120.0,7
2003,80000,19.369999999999997,1248,81.86,5
2011,80000,21.1,814,55.2,5
2013,80000,21.1,814,55.2,5
2005,150000,19.7,796,46.3,5
2016,110000,24.3,1248,88.5,5
2010,80000,22.07,1199,73.9,5
2019,20000,18.9,1197,81.86,5
2011,120000,13.0,2489,95.0,8
2016,120000,15.96,2523,63.0,9
2010,80000,20.4,1248,91.2,5
2012,120000,19.3,1248,73.9,5
2012,100000,23.0,1396,90.0,5
2012,120000,14.0,2498,112.0,8
2017,80000,17.8,1198,86.7,5
2015,90000,15.4,2523,75.0,7
2016,70000,23.95,998,67.05,5
1999,110000,19.369999999999997,1248,81.86,5
2010,60000,19.369999999999997,1248,81.86,5
2013,110000,12.8,2953,156.0,7
2017,20000,18.9,1197,82.0,5
2014,90000,15.1,2179,140.0,7
2008,70000,15.26,1150,74.9,5
2009,120000,13.6,2523,63.0,7
2006,120000,10.5,2179,120.0,8
2017,80000,22.7,799,53.0,5
2003,132478,13.6,2523,63.0,7
2014,45000,19.1,1197,85.8,5
2019,10000,19.0,1194,94.68,5
2012,51000,16.1,796,37.0,4
2014,100000,15.1,2179,140.0,7
2010,30000,19.7,796,46.3,5
2016,60000,12.2,1994,105.3,10
2013,86000,22.9,1248,74.0,5
2015,15000,20.62,1198,67.0,7
2011,137500,19.3,1248,73.9,5
2018,60000,23.01,999,67.0,5
2016,70000,18.2,1248,73.74,7
2015,5000,20.51,998,67.04,5
2015,40000,21.1,814,55.2,5
2015,60000,19.01,1461,108.45,5
2008,70000,17.7,1497,78.0,5
2019,15000,20.3,1199,84.0,5
2011,110000,19.3,1248,73.9,5
2000,70000,16.1,796,37.0,4
2019,10000,27.4,1498,98.63,5
2013,60000,16.02,1373,93.7,7
2011,110000,18.8,1248,90.0,5
2015,35000,18.6,1197,81.83,5
2016,70000,16.8,796,34.2,8
2011,100000,13.6,2523,63.0,7
2008,120000,19.7,796,46.3,5
2009,90000,19.7,796,35.0,8
2016,70000,25.8,1498,98.6,5
2014,88000,12.99,2494,100.6,7
2012,38000,21.1,814,55.2,5
2013,90000,20.51,998,67.04,5
2016,60000,21.4,1197,83.1,5
2010,60000,18.5,1197,80.0,5
2012,156060,23.2,1248,73.94,5
2017,60000,19.67,1582,126.2,5
2017,70000,20.85,1197,83.14,5
2017,35000,23.9,1582,126.2,5
2016,50000,16.0,1997,140.0,7
2012,50000,18.6,1197,85.8,5
2007,100000,17.8,1086,63.0,5
2015,15000,22.74,796,47.3,5
2015,80000,22.77,1498,98.59,5
2014,110000,20.8,1461,64.1,5
2014,35000,20.51,998,67.04,5
2010,40000,19.0,998,67.1,5
2009,100000,17.0,1405,71.0,5
2015,20000,19.81,1086,68.05,5
2019,15000,18.9,1197,81.86,5
2011,70000,16.6,1388,68.0,5
2016,20000,18.15,1198,82.0,6
2016,15000,19.81,1086,68.05,5
2017,107000,28.4,1248,74.02,5
2011,54000,18.4,1248,75.0,5
2009,58000,19.7,796,46.3,5
2015,43000,20.3,998,68.05,5
2017,43000,28.4,1248,74.02,5
2011,150000,12.8,1396,85.0,5
2018,10000,16.8,796,34.2,8
2016,35000,18.6,1197,81.83,5
2016,50000,25.17,799,53.3,5
2005,60000,19.369999999999997,1248,81.86,5
2011,80000,22.32,1582,126.32,5
2017,110000,24.7,1047,69.0,5
2015,14000,20.77,1248,88.76,7
2012,60000,30.46,796,47.3,5
2017,28000,25.17,799,53.3,5
2011,57000,21.1,814,55.2,5
2017,50000,26.59,1248,74.0,5
2012,70000,26.2,998,58.2,5
2015,60000,21.43,1364,87.2,5
2013,70000,18.5,1197,82.85,5
2010,120000,21.12,1248,88.8,5
2016,140000,14.02,2179,118.3,7
2010,100000,17.0,1405,70.0,5
2014,120000,14.02,2179,118.3,7
2013,120000,19.09,1405,69.01,5
2012,64000,17.8,1399,67.0,5
2015,25000,23.1,998,67.04,5
2019,12000,20.0,999,72.0,7
2016,120000,11.0,2179,120.0,5
2016,90000,25.17,799,53.3,5
2010,300000,13.6,2523,63.0,7
2012,120000,19.09,1396,69.0,5
2009,100000,17.7,1399,68.0,5
2016,90000,15.96,2523,62.1,7
2015,168000,20.6,1968,141.0,5
2010,110000,20.0,1399,68.0,5
2010,120000,13.6,2523,63.0,7
2017,40000,25.5,1498,98.6,5
2006,110000,17.7,1497,78.0,5
2010,100000,21.9,1396,90.0,5
2017,40000,24.3,1248,88.5,5
2019,30000,18.6,1197,81.86,5
2009,200000,12.8,2494,102.0,7
2010,125000,11.5,2982,171.0,7
